geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Congressional District 1, Idaho",729489,5236,7468,4027,786,628448,64742,0.72,1.02,0.55,0.11,86.15,8.87
"Congressional District 1, Illinois",551937,536,8639,277569,62,213486,40646,0.1,1.57,50.29,0.01,38.68,7.36
"Congressional District 1, Indiana",568131,433,6408,97522,70,374096,79600,0.08,1.13,17.17,0.01,65.85,14.01
"Congressional District 1, Iowa",606138,579,9358,20983,176,536432,26436,0.1,1.54,3.46,0.03,88.5,4.36
"Congressional District 1, Kansas",535787,2787,6810,14797,253,440863,55075,0.52,1.27,2.76,0.05,82.28,10.28
"Congressional District 1, Kentucky",574639,624,2460,38811,482,505842,13518,0.11,0.43,6.75,0.08,88.03,2.35
"Congressional District 1, Louisiana",571453,2539,9973,67719,820,431970,44418,0.44,1.75,11.85,0.14,75.59,7.77
"Congressional District 1, Maine",558769,748,6542,5650,138,524561,10256,0.13,1.17,1.01,0.02,93.88,1.84
"Congressional District 1, Maryland",595753,399,12034,85513,235,462148,21754,0.07,2.02,14.35,0.04,77.57,3.65
"Congressional District 1, Massachusetts",604785,374,9642,30029,34,457924,96232,0.06,1.59,4.97,0.01,75.72,15.91
"Congressional District 1, Michigan",636815,10433,2833,7586,124,587742,11150,1.64,0.44,1.19,0.02,92.29,1.75
"Congressional District 1, Minnesota",533717,1209,12303,14521,113,473542,23922,0.23,2.31,2.72,0.02,88.73,4.48
"Congressional District 1, Mississippi",561851,523,3512,155740,260,378176,12523,0.09,0.63,27.72,0.05,67.31,2.23
"Congressional District 1, Missouri",567242,554,12480,252856,90,268108,16405,0.1,2.2,44.58,0.02,47.27,2.89
"Congressional District 1, Montana",448084,15680,3477,1344,171,399602,15555,3.5,0.78,0.3,0.04,89.18,3.47
"Congressional District 1, Nebraska",480301,1543,10244,13270,216,409327,34195,0.32,2.13,2.76,0.04,85.22,7.12
"Congressional District 1, Nevada",515702,1648,43325,53642,2832,260257,133120,0.32,8.4,10.4,0.55,50.47,25.81
"Congressional District 1, New Hampshire",558338,365,11495,6348,118,511311,18517,0.07,2.06,1.14,0.02,91.58,3.32
"Congressional District 1, New Jersey",577415,189,23997,91384,141,382389,66466,0.03,4.16,15.83,0.02,66.22,11.51
"Congressional District 1, New Mexico",547909,21951,11342,12821,262,283558,203343,4.01,2.07,2.34,0.05,51.75,37.11
"Congressional District 1, New York",586996,901,26508,25323,86,463896,61013,0.15,4.52,4.31,0.01,79.03,10.39
"Congressional District 1, North Carolina",565402,3223,3566,228560,278,295017,21822,0.57,0.63,40.42,0.05,52.18,3.86
"Congressional District 1, Ohio",586653,568,15144,101399,330,434534,16720,0.1,2.58,17.28,0.06,74.07,2.85
"Congressional District 1, Oklahoma",566928,29931,14396,47490,322,389406,44136,5.28,2.54,8.38,0.06,68.69,7.79
"Congressional District 1, Oregon",523314,1720,37590,11590,2180,389258,57398,0.33,7.18,2.21,0.42,74.38,10.97
"Congressional District 1, Pennsylvania",587689,295,27571,20819,59,500222,27828,0.05,4.69,3.54,0.01,85.12,4.74
"Congressional District 1, Rhode Island",400341,925,10586,29002,462,295567,53048,0.23,2.64,7.24,0.12,73.83,13.25
"Congressional District 1, South Carolina",578374,739,9155,99325,196,426409,29696,0.13,1.58,17.17,0.03,73.73,5.13
"Congressional District 1, Tennessee",614985,589,3652,13178,65,570490,15693,0.1,0.59,2.14,0.01,92.76,2.55
"Congressional District 1, Texas",557524,1233,4443,100270,336,376770,59753,0.22,0.8,17.98,0.06,67.58,10.72
"Congressional District 1, Utah",589363,1960,9623,6001,1955,496414,59187,0.33,1.63,1.02,0.33,84.23,10.04
"Congressional District 1, Virginia",601475,802,24254,80303,392,454341,24808,0.13,4.03,13.35,0.07,75.54,4.12
"Congressional District 1, Washington",510246,1994,69540,13508,1742,364695,36415,0.39,13.63,2.65,0.34,71.47,7.14
"Congressional District 1, West Virginia",694748,491,3034,23331,79,645496,7237,0.07,0.44,3.36,0.01,92.91,1.04
"Congressional District 1, Wisconsin",551946,803,7753,31044,222,452029,48052,0.15,1.4,5.62,0.04,81.9,8.71
"Congressional District 10, California",523893,939,100810,29081,1643,290255,78299,0.18,19.24,5.55,0.31,55.4,14.95
"Congressional District 10, Florida",550958,580,25995,130994,342,232443,147810,0.11,4.72,23.78,0.06,42.19,26.83
"Congressional District 10, Georgia",592387,788,10888,147338,87,386683,30091,0.13,1.84,24.87,0.01,65.28,5.08
"Congressional District 10, Illinois",512420,656,34358,34556,183,347114,85805,0.13,6.71,6.74,0.04,67.74,16.75
"Congressional District 10, Michigan",585461,722,29787,77687,370,448177,13560,0.12,5.09,13.27,0.06,76.55,2.32
"Congressional District 10, New Jersey",501129,775,31712,257368,192,111510,89592,0.15,6.33,51.36,0.04,22.25,17.88
"Congressional District 10, New York",502392,787,82827,34557,84,285527,86244,0.16,16.49,6.88,0.02,56.83,17.17
"Congressional District 10, North Carolina",566388,639,10946,91214,214,417623,34353,0.11,1.93,16.1,0.04,73.73,6.07
