geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 12 (2024), Missouri",139381,260,562,2496,25,131029,2969
"State Senate District 12 (2024), Montana",16691,578,167,107,4,14758,609
"State Senate District 12 (2024), Nebraska",27185,9,394,347,4,23088,2741
"State Senate District 12 (2024), Nevada",113686,534,16052,8912,1955,59076,21410
"State Senate District 12 (2024), New Hampshire",45554,32,1883,1068,0,38995,2394
"State Senate District 12 (2024), New Jersey",169036,21,11694,9090,0,126825,18234
"State Senate District 12 (2024), New Mexico",39234,1392,512,1092,92,19785,14726
"State Senate District 12 (2024), New York",179814,731,41517,5271,103,78979,49843
"State Senate District 12 (2024), North Carolina",147706,624,1301,30285,143,96316,14699
"State Senate District 12 (2024), North Dakota",12510,329,73,304,1,11334,357
"State Senate District 12 (2024), Ohio",259219,383,1179,9274,11,237095,4929
"State Senate District 12 (2024), Oklahoma",63296,5797,387,1284,2,49195,2290
"State Senate District 12 (2024), Oregon",108433,1231,1380,933,241,90241,10869
"State Senate District 12 (2024), Pennsylvania",196384,0,17137,10500,15,157872,7321
"State Senate District 12 (2024), Rhode Island",23516,23,393,971,0,20548,1090
"State Senate District 12 (2024), South Carolina",85999,21,2802,17378,37,58721,5653
"State Senate District 12 (2024), South Dakota",19776,184,274,393,0,17721,517
"State Senate District 12 (2024), Tennessee",173208,161,566,2938,34,164118,2326
"State Senate District 12 (2024), Texas",668043,1255,57865,59553,668,431090,101363
"State Senate District 12 (2024), Utah",68333,450,2451,1298,2564,42492,17223
"State Senate District 12 (2024), Virginia",167133,130,5970,27361,8,120556,8051
"State Senate District 12 (2024), West Virginia",81684,73,336,1886,4,76828,1377
"State Senate District 12 (2024), Wisconsin",147818,2508,452,539,13,139529,1844
"State Senate District 12 (2024), Wyoming",11597,20,133,116,4,9643,1394
"State Senate District 13 (2024), Alabama",116202,94,574,25601,4,84471,2494
"State Senate District 13 (2024), Arizona",171536,1979,14567,8812,221,111962,28760
"State Senate District 13 (2024), Arkansas",66535,122,637,15771,0,46395,1863
"State Senate District 13 (2024), California",635657,614,175011,13596,5448,320391,99322
"State Senate District 13 (2024), Colorado",110320,251,1214,2121,149,64380,39663
"State Senate District 13 (2024), Connecticut",72730,82,2701,5163,2,47663,15565
"State Senate District 13 (2024), Delaware",34568,0,1451,13726,2,15006,3773
"State Senate District 13 (2024), Florida",419530,358,15968,39421,365,291225,64621
"State Senate District 13 (2024), Georgia",138218,164,1051,38115,54,90441,5778
"State Senate District 13 (2024), Hawaii",39147,28,21743,849,2777,5038,2290
"State Senate District 13 (2024), Idaho",40390,115,321,422,13,31463,7046
"State Senate District 13 (2024), Illinois",156706,160,10951,82156,27,42313,16751
"State Senate District 13 (2024), Indiana",98740,37,308,363,80,92730,3748
"State Senate District 13 (2024), Iowa",45873,19,468,547,50,41812,2105
"State Senate District 13 (2024), Kansas",54930,467,624,811,75,48795,1874
"State Senate District 13 (2024), Kentucky",92552,34,1582,12350,0,71297,4286
"State Senate District 13 (2024), Louisiana",85297,79,434,7655,1,73267,2668
"State Senate District 13 (2024), Maine",31905,92,222,132,0,30668,386
"State Senate District 13 (2024), Maryland",93710,39,12976,25844,18,44228,7243
"State Senate District 13 (2024), Michigan",192880,178,16627,17384,8,150262,4920
"State Senate District 13 (2024), Minnesota",64705,53,530,988,14,60707,1192
"State Senate District 13 (2024), Mississippi",38753,35,94,26372,0,11204,642
"State Senate District 13 (2024), Missouri",136183,74,668,90644,21,38846,1741
"State Senate District 13 (2024), Montana",17462,424,101,46,0,15894,396
"State Senate District 13 (2024), Nebraska",27616,32,1373,7408,36,16147,1783
"State Senate District 13 (2024), Nevada",97006,810,5511,3667,685,57948,24885
"State Senate District 13 (2024), New Hampshire",43942,30,2021,984,0,34823,5194
"State Senate District 13 (2024), New Jersey",175582,41,11549,5204,30,142868,13349
"State Senate District 13 (2024), New Mexico",35917,1021,729,969,0,15294,16817
"State Senate District 13 (2024), New York",137506,152,33576,14706,169,20131,66687
"State Senate District 13 (2024), North Carolina",146493,396,4703,19676,56,109445,9253
"State Senate District 13 (2024), North Dakota",13375,150,85,434,16,12109,408
"State Senate District 13 (2024), Ohio",284076,258,2342,17351,18,232354,24890
"State Senate District 13 (2024), Oklahoma",62192,7813,295,1601,43,44546,3026
"State Senate District 13 (2024), Oregon",105682,347,6209,1581,343,82609,10035
"State Senate District 13 (2024), Pennsylvania",194411,68,3748,9371,38,153086,25009
"State Senate District 13 (2024), Rhode Island",22881,75,231,1016,74,19129,1541
"State Senate District 13 (2024), South Carolina",89417,117,1345,13888,69,67998,3027
"State Senate District 13 (2024), South Dakota",20046,93,268,490,1,18630,320
"State Senate District 13 (2024), Tennessee",155200,154,6397,20262,84,115117,8059
"State Senate District 13 (2024), Texas",552057,808,53392,262718,242,87527,135976
"State Senate District 13 (2024), Utah",78553,896,3722,2714,728,56885,11306
"State Senate District 13 (2024), Virginia",165264,609,1773,83006,213,67872,7501
"State Senate District 13 (2024), West Virginia",91406,34,2049,3670,0,80939,2597
"State Senate District 13 (2024), Wisconsin",140080,396,517,2533,36,128610,5714
"State Senate District 13 (2024), Wyoming",12362,68,67,164,1,10406,1496
