geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 30 (2024), Alabama",105296,127,961,25413,12,73806,2783
"State Senate District 30 (2024), Arizona",200556,3045,1699,2245,337,160824,27145
"State Senate District 30 (2024), Arkansas",69818,602,1240,3535,85,57702,4504
"State Senate District 30 (2024), California",649283,1764,132305,22003,1713,105874,376104
"State Senate District 30 (2024), Colorado",128134,243,6372,1731,161,106594,10647
"State Senate District 30 (2024), Connecticut",81298,4,1600,2268,38,70838,5202
"State Senate District 30 (2024), Florida",369019,390,12972,76589,67,189071,82093
"State Senate District 30 (2024), Georgia",140901,271,1145,34378,1,94612,6518
"State Senate District 30 (2024), Idaho",35640,1667,135,57,13,28808,4152
"State Senate District 30 (2024), Illinois",128677,305,12602,16540,41,61610,34651
"State Senate District 30 (2024), Indiana",96893,35,2018,25593,16,60874,5033
"State Senate District 30 (2024), Iowa",49232,85,303,624,6,45945,1730
"State Senate District 30 (2024), Kansas",52874,332,4401,3584,29,38663,3757
"State Senate District 30 (2024), Kentucky",90832,106,336,1246,70,87493,280
"State Senate District 30 (2024), Louisiana",81627,398,776,8957,149,64701,4329
"State Senate District 30 (2024), Maine",31182,78,524,310,0,28889,558
"State Senate District 30 (2024), Maryland",99626,82,1992,11511,119,77459,6454
"State Senate District 30 (2024), Michigan",205889,393,3539,9474,70,176528,11252
"State Senate District 30 (2024), Minnesota",64726,114,1394,2429,0,58326,1423
"State Senate District 30 (2024), Mississippi",43528,89,470,13381,137,27844,1079
"State Senate District 30 (2024), Missouri",145924,386,2017,5821,183,126181,6341
"State Senate District 30 (2024), Montana",15616,27,116,69,1,14550,656
"State Senate District 30 (2024), Nebraska",31187,88,533,115,3,29129,747
"State Senate District 30 (2024), New Jersey",132865,72,2008,3567,9,115381,10537
"State Senate District 30 (2024), New Mexico",36033,11995,200,945,63,8481,13849
"State Senate District 30 (2024), New York",227586,173,13107,89176,0,55504,61701
"State Senate District 30 (2024), North Carolina",164633,196,1797,14512,9,137107,7432
"State Senate District 30 (2024), North Dakota",12513,859,29,190,15,10899,346
"State Senate District 30 (2024), Ohio",272032,211,1072,7273,6,253679,3273
"State Senate District 30 (2024), Oklahoma",50674,1539,1156,6020,4,30657,8630
"State Senate District 30 (2024), Oregon",110938,1361,594,843,71,93080,11324
"State Senate District 30 (2024), Pennsylvania",196652,114,799,4147,27,186226,2848
"State Senate District 30 (2024), Rhode Island",24117,8,355,532,4,21703,1027
"State Senate District 30 (2024), South Carolina",83891,597,214,39272,3,40652,1155
"State Senate District 30 (2024), South Dakota",21163,691,92,42,12,18948,488
"State Senate District 30 (2024), Tennessee",133150,101,2347,84859,267,37757,4893
"State Senate District 30 (2024), Texas",723004,1567,43974,68783,562,485584,100786
"State Senate District 30 (2024), Virginia",132776,107,13272,18889,109,70076,25523
"State Senate District 30 (2024), Wisconsin",132611,2361,3933,3500,52,108769,9924
"State Senate District 30 (2024), Wyoming",14774,53,14,72,0,13356,835
"State Senate District 31 (2024), Alabama",104509,335,770,20151,58,76296,3816
"State Senate District 31 (2024), Arkansas",47316,215,1560,1081,801,30915,10997
"State Senate District 31 (2024), California",608365,1220,47532,56916,2118,141740,345429
"State Senate District 31 (2024), Colorado",137218,290,3440,7431,1,107529,13830
"State Senate District 31 (2024), Connecticut",77833,31,2335,3751,30,59552,10136
"State Senate District 31 (2024), Florida",430210,278,9179,41865,269,307546,63624
"State Senate District 31 (2024), Georgia",144844,100,1117,31206,115,99955,9142
"State Senate District 31 (2024), Idaho",39248,126,51,45,14,35359,2802
"State Senate District 31 (2024), Illinois",148679,141,9284,12399,42,92802,30846
"State Senate District 31 (2024), Indiana",97064,16,4020,6540,108,80758,3446
"State Senate District 31 (2024), Iowa",45719,50,1063,6645,116,34573,2108
"State Senate District 31 (2024), Kansas",56523,172,747,1450,0,47568,5064
"State Senate District 31 (2024), Kentucky",89357,87,490,1439,47,85546,730
"State Senate District 31 (2024), Louisiana",91768,1421,907,22385,5,62072,2836
"State Senate District 31 (2024), Maine",32118,55,199,216,1,29808,733
"State Senate District 31 (2024), Maryland",98123,166,2791,9320,3,78411,4432
"State Senate District 31 (2024), Michigan",199203,259,4617,3051,39,172202,16255
"State Senate District 31 (2024), Minnesota",65591,77,1606,1475,31,60032,985
"State Senate District 31 (2024), Mississippi",39389,522,95,12216,74,24428,1434
"State Senate District 31 (2024), Missouri",138249,295,990,6037,99,122088,5561
"State Senate District 31 (2024), Montana",17991,135,245,135,0,16239,952
"State Senate District 31 (2024), Nebraska",28094,38,722,677,3,24991,1100
"State Senate District 31 (2024), New Jersey",154434,273,15341,41663,158,47605,46182
"State Senate District 31 (2024), New Mexico",32517,92,50,236,1,3552,28259
"State Senate District 31 (2024), New York",205863,373,6533,29454,39,41235,124251
"State Senate District 31 (2024), North Carolina",168092,231,2719,22440,80,129482,10047
"State Senate District 31 (2024), North Dakota",11311,2279,16,357,0,8188,304
"State Senate District 31 (2024), Ohio",261411,190,1055,4194,20,247582,3623
"State Senate District 31 (2024), Oklahoma",61004,2706,704,5674,129,42362,5138
"State Senate District 31 (2024), Pennsylvania",203481,47,2787,14814,2,162336,19690
"State Senate District 31 (2024), Rhode Island",21986,8,230,660,73,18857,1669
"State Senate District 31 (2024), South Carolina",78977,139,1023,26454,21,48143,2048
"State Senate District 31 (2024), South Dakota",22631,471,87,64,21,20609,662
"State Senate District 31 (2024), Tennessee",146732,69,6207,27374,238,105908,4582
"State Senate District 31 (2024), Texas",590056,1731,7088,28955,534,314702,225318
"State Senate District 31 (2024), Virginia",154923,107,15389,10258,48,110075,14752
"State Senate District 31 (2024), Wisconsin",141420,380,3821,1285,110,131285,2442
"State Senate District 31 (2024), Wyoming",14691,16,78,477,55,11295,2426
"State Senate District 32 (2024), Alabama",124236,250,1240,8584,73,106981,4651
"State Senate District 32 (2024), Arkansas",56558,247,661,599,144,43164,10297
"State Senate District 32 (2024), California",680131,1710,81709,41510,1753,327444,202856
"State Senate District 32 (2024), Colorado",119372,450,4157,6888,43,77847,26070
"State Senate District 32 (2024), Connecticut",82853,6,2442,2822,16,69533,6354
"State Senate District 32 (2024), Florida",364044,303,11442,160844,235,104095,79185
"State Senate District 32 (2024), Georgia",141342,57,5998,20231,14,100135,11474
"State Senate District 32 (2024), Idaho",35234,71,453,102,44,30317,3705
"State Senate District 32 (2024), Illinois",162861,80,3192,2578,46,139688,15158
"State Senate District 32 (2024), Indiana",96163,43,4054,9772,0,74870,5458
"State Senate District 32 (2024), Iowa",48573,74,99,283,0,46945,662
"State Senate District 32 (2024), Kansas",56904,538,381,962,1,49865,3469
"State Senate District 32 (2024), Kentucky",95007,92,1857,5438,144,82411,2393
"State Senate District 32 (2024), Louisiana",86115,312,171,18845,78,62079,2743
"State Senate District 32 (2024), Maine",31812,10,242,253,15,30196,502
"State Senate District 32 (2024), Maryland",100040,224,5327,34389,71,47985,7818
"State Senate District 32 (2024), Michigan",204715,1206,950,16885,93,170700,9396
"State Senate District 32 (2024), Minnesota",63959,212,4508,4615,0,51477,1867
"State Senate District 32 (2024), Mississippi",40385,226,169,25848,5,12519,386
"State Senate District 32 (2024), Missouri",134908,1122,1423,1992,111,118290,6911
"State Senate District 32 (2024), Montana",18997,162,217,70,2,16945,938
"State Senate District 32 (2024), Nebraska",28317,77,217,59,4,25536,1863
"State Senate District 32 (2024), New Jersey",139355,213,24585,9187,145,73111,28777
"State Senate District 32 (2024), New Mexico",31851,390,48,455,5,11944,18491
"State Senate District 32 (2024), New York",180337,813,1544,65659,14,4754,105427
"State Senate District 32 (2024), North Carolina",149548,219,2156,53606,158,77873,11696
"State Senate District 32 (2024), North Dakota",13620,704,128,197,0,11863,316
"State Senate District 32 (2024), Ohio",289852,170,1107,15271,98,261098,6418
"State Senate District 32 (2024), Oklahoma",60591,2206,1438,8068,327,36756,7685
"State Senate District 32 (2024), Pennsylvania",201584,71,612,5991,53,190177,2089
"State Senate District 32 (2024), Rhode Island",21045,9,542,212,2,19345,590
"State Senate District 32 (2024), South Carolina",83104,128,257,41275,0,38992,1258
"State Senate District 32 (2024), South Dakota",19870,2190,150,333,0,15165,835
"State Senate District 32 (2024), Tennessee",148559,167,1863,46572,66,91995,4910
"State Senate District 32 (2024), Virginia",139204,255,36750,13652,117,69516,14292
"State Senate District 32 (2024), Wisconsin",138733,238,3760,1797,21,127917,2937
"State Senate District 33 (2024), Alabama",102050,196,878,62227,0,35058,2124
"State Senate District 33 (2024), Arkansas",58668,326,1901,1132,277,47222,5606
"State Senate District 33 (2024), California",610356,1368,57233,57262,2922,139067,338289
"State Senate District 33 (2024), Colorado",109569,394,4584,24073,35,48835,28374
"State Senate District 33 (2024), Connecticut",79194,13,1354,978,195,72456,3114
"State Senate District 33 (2024), Florida",430736,286,6433,24380,134,332648,60575
"State Senate District 33 (2024), Georgia",126698,157,4086,47684,38,55316,15481
"State Senate District 33 (2024), Idaho",37533,332,179,221,18,31596,4166
"State Senate District 33 (2024), Illinois",159944,117,9368,3890,45,123801,19687
"State Senate District 33 (2024), Indiana",90110,31,1598,33796,19,44579,6740
"State Senate District 33 (2024), Iowa",48216,30,200,733,35,46179,789
"State Senate District 33 (2024), Kansas",54693,205,77,1038,3,47551,4323
"State Senate District 33 (2024), Kentucky",84970,197,323,44114,14,34145,2434
"State Senate District 33 (2024), Louisiana",89000,139,229,21018,14,64510,1782
"State Senate District 33 (2024), Maine",31302,17,490,202,16,29477,460
"State Senate District 33 (2024), Maryland",98707,40,3610,12294,38,73182,6282
"State Senate District 33 (2024), Michigan",208697,687,747,5223,65,188691,7909
"State Senate District 33 (2024), Minnesota",64533,234,1322,1644,12,58827,1608
"State Senate District 33 (2024), Mississippi",42069,225,196,11347,13,28315,676
"State Senate District 33 (2024), Missouri",142258,371,441,1636,1,131803,4321
"State Senate District 33 (2024), Montana",19551,99,167,194,0,17641,724
"State Senate District 33 (2024), Nebraska",29415,67,234,178,4,26967,1645
"State Senate District 33 (2024), New Jersey",131830,60,10516,5700,16,32152,81843
"State Senate District 33 (2024), New Mexico",39765,3220,189,1206,13,23262,11171
"State Senate District 33 (2024), New York",175778,222,9602,35203,180,37905,90179
"State Senate District 33 (2024), North Carolina",159450,113,1684,23568,202,124429,6693
"State Senate District 33 (2024), North Dakota",13203,175,16,15,0,12391,446
"State Senate District 33 (2024), Ohio",279456,164,1233,24614,69,236537,11054
"State Senate District 33 (2024), Oklahoma",58822,2310,2111,4105,19,41519,4644
"State Senate District 33 (2024), Pennsylvania",203386,50,1233,4718,6,184531,9602
"State Senate District 33 (2024), Rhode Island",22505,0,116,157,0,20885,915
"State Senate District 33 (2024), South Carolina",96760,118,1117,13219,19,75483,4204
"State Senate District 33 (2024), South Dakota",20562,291,85,81,3,18804,423
"State Senate District 33 (2024), Tennessee",134917,80,1773,101886,79,23778,5533
"State Senate District 33 (2024), Virginia",143122,112,15993,30546,111,67288,23158
"State Senate District 33 (2024), Wisconsin",142500,196,1619,841,18,133974,3807
"State Senate District 34 (2024), Alabama",106036,782,1368,25822,40,73021,2530
"State Senate District 34 (2024), Arkansas",65592,327,1623,1374,7,55967,4404
"State Senate District 34 (2024), California",555988,903,110123,11607,1366,121581,300683
"State Senate District 34 (2024), Colorado",127914,519,3114,4624,702,80669,33846
"State Senate District 34 (2024), Connecticut",74356,7,2619,2419,9,61931,6491
"State Senate District 34 (2024), Florida",332113,381,4533,169405,25,41798,111589
"State Senate District 34 (2024), Georgia",125650,184,5053,89971,96,16388,10675
"State Senate District 34 (2024), Idaho",41302,126,313,318,157,36257,3246
"State Senate District 34 (2024), Illinois",152833,249,3224,21053,49,101251,21929
"State Senate District 34 (2024), Indiana",92505,104,1054,51834,2,28834,6829
"State Senate District 34 (2024), Iowa",48156,104,158,165,11,46370,707
"State Senate District 34 (2024), Kansas",55811,283,214,1481,46,48543,4045
"State Senate District 34 (2024), Kentucky",100289,46,1310,6483,48,87483,2522
"State Senate District 34 (2024), Louisiana",81831,160,341,52128,27,26733,1330
"State Senate District 34 (2024), Maine",32476,29,391,328,0,31167,289
"State Senate District 34 (2024), Maryland",102460,70,2894,24295,50,66620,5551
"State Senate District 34 (2024), Michigan",216436,1877,1082,5291,21,197182,6590
"State Senate District 34 (2024), Minnesota",58540,102,4869,6331,0,43845,2231
"State Senate District 34 (2024), Mississippi",40102,46,59,21886,0,16439,893
"State Senate District 34 (2024), Missouri",141491,266,2289,8644,309,117709,7958
"State Senate District 34 (2024), Montana",17230,75,87,33,0,16141,460
"State Senate District 34 (2024), Nebraska",27446,10,302,124,0,25164,1467
"State Senate District 34 (2024), New Jersey",157650,95,9642,61867,79,49855,33121
"State Senate District 34 (2024), New Mexico",38681,540,576,1375,58,22739,12573
"State Senate District 34 (2024), New York",198873,545,17136,42496,29,47555,88159
"State Senate District 34 (2024), North Carolina",155623,65,5419,30806,63,103556,11078
"State Senate District 34 (2024), North Dakota",14098,514,7,192,33,12684,410
"State Senate District 34 (2024), Oklahoma",54409,2895,1674,4753,19,34474,6585
"State Senate District 34 (2024), Pennsylvania",208677,64,6266,5139,10,186790,6323
"State Senate District 34 (2024), Rhode Island",23981,116,43,140,0,22446,684
"State Senate District 34 (2024), South Carolina",107255,131,928,4677,56,94851,4476
"State Senate District 34 (2024), South Dakota",20246,702,181,170,4,17356,879
"State Senate District 34 (2024), Virginia",147381,105,17264,29344,163,74028,21443
"State Senate District 35 (2024), Alabama",100780,203,3008,19210,50,73406,2721
"State Senate District 35 (2024), Arkansas",62482,797,1304,627,210,52938,4051
"State Senate District 35 (2024), California",551841,979,51648,150047,2675,61875,272473
"State Senate District 35 (2024), Colorado",132012,761,1346,3394,132,99250,23550
"State Senate District 35 (2024), Connecticut",77062,122,1659,1307,3,67961,4515
"State Senate District 35 (2024), Florida",367451,679,18631,75286,78,112159,153406
"State Senate District 35 (2024), Georgia",141212,61,3939,77497,97,46869,8676
"State Senate District 35 (2024), Idaho",37414,99,58,60,1,34549,2038
"State Senate District 35 (2024), Illinois",157126,43,5387,2938,2,130639,15732
"State Senate District 35 (2024), Indiana",90991,29,1273,13615,18,67698,5772
"State Senate District 35 (2024), Iowa",47951,25,223,1066,14,44791,1126
"State Senate District 35 (2024), Kansas",52953,138,2958,1525,3,44859,2554
"State Senate District 35 (2024), Kentucky",76281,118,1079,19553,15,46689,5568
"State Senate District 35 (2024), Louisiana",86765,335,914,13347,16,67787,2513
"State Senate District 35 (2024), Maine",32408,67,181,341,24,30621,655
"State Senate District 35 (2024), Maryland",101467,53,1678,4666,67,90111,2888
"State Senate District 35 (2024), Michigan",209246,212,2198,24279,64,164198,13758
"State Senate District 35 (2024), Minnesota",64516,385,3620,4024,8,51973,2307
"State Senate District 35 (2024), Mississippi",44492,102,117,18332,0,24950,631
"State Senate District 35 (2024), Montana",18770,124,59,48,1,17543,499
"State Senate District 35 (2024), Nebraska",22124,45,291,864,1,15293,5453
"State Senate District 35 (2024), New Jersey",133527,45,6446,29522,35,33759,62514
"State Senate District 35 (2024), New Mexico",38886,337,312,671,0,21090,15458
"State Senate District 35 (2024), New York",217647,353,15718,28307,89,106591,62987
"State Senate District 35 (2024), North Carolina",159894,120,5945,16822,50,121735,11370
"State Senate District 35 (2024), North Dakota",14185,381,16,402,148,12723,391
"State Senate District 35 (2024), Oklahoma",65543,2551,1302,3862,51,49200,4404
"State Senate District 35 (2024), Pennsylvania",205054,168,2180,4860,33,190166,4082
"State Senate District 35 (2024), Rhode Island",22937,40,1029,211,0,20846,534
"State Senate District 35 (2024), South Carolina",91274,161,1433,33844,86,46984,5834
"State Senate District 35 (2024), South Dakota",20244,1204,256,268,9,16891,834
"State Senate District 35 (2024), Virginia",143534,171,29081,14879,29,75137,19162
"State Senate District 36 (2024), California",702799,1484,189413,12563,3162,345497,130236
"State Senate District 36 (2024), Connecticut",71297,24,4089,2703,55,57123,6105
"State Senate District 36 (2024), Florida",315773,398,5667,15754,78,54576,236094
"State Senate District 36 (2024), Georgia",156238,274,6786,73551,10,62476,8331
"State Senate District 36 (2024), Illinois",160852,127,1663,13385,98,127696,13891
"State Senate District 36 (2024), Indiana",93357,103,5895,6464,123,73663,4417
"State Senate District 36 (2024), Iowa",49401,21,398,1691,68,45262,873
"State Senate District 36 (2024), Kansas",54487,224,145,439,34,51244,1361
"State Senate District 36 (2024), Kentucky",86828,77,2555,6383,1,72397,2861
"State Senate District 36 (2024), Louisiana",92046,181,904,23261,45,62368,3186
"State Senate District 36 (2024), Maryland",106069,64,879,8374,44,90510,3960
"State Senate District 36 (2024), Michigan",221701,518,860,1380,2,210657,3970
"State Senate District 36 (2024), Minnesota",64268,186,3134,1430,0,56022,1920
"State Senate District 36 (2024), Mississippi",43523,15,255,8055,5,33858,579
"State Senate District 36 (2024), Montana",19126,339,66,34,6,17784,484
"State Senate District 36 (2024), Nebraska",29429,24,332,687,55,26373,1281
"State Senate District 36 (2024), New Jersey",145694,51,16013,7894,9,70851,48836
"State Senate District 36 (2024), New Mexico",34691,467,130,303,18,11566,21515
"State Senate District 36 (2024), New York",208938,554,6532,121623,82,22295,53042
"State Senate District 36 (2024), North Carolina",162138,218,722,6071,18,145253,7239
"State Senate District 36 (2024), North Dakota",10846,56,84,81,6,9790,661
"State Senate District 36 (2024), Oklahoma",55852,2795,2276,4112,38,37439,5570
"State Senate District 36 (2024), Pennsylvania",208584,116,4850,4095,5,183326,12844
"State Senate District 36 (2024), Rhode Island",25018,15,149,142,0,23455,796
"State Senate District 36 (2024), South Carolina",81433,108,764,37674,121,39644,1617
"State Senate District 36 (2024), Virginia",143776,271,38197,10112,80,75864,14973
"State Senate District 37 (2024), California",700029,983,157114,15160,2317,361034,137353
"State Senate District 37 (2024), Florida",365663,482,7084,51969,543,195685,103291
"State Senate District 37 (2024), Georgia",142188,96,5058,29031,61,95108,9056
"State Senate District 37 (2024), Illinois",163251,58,2041,3502,4,143871,11447
"State Senate District 37 (2024), Indiana",106465,9,1095,1708,1,100348,1387
"State Senate District 37 (2024), Iowa",47258,30,1099,1260,17,42794,957
"State Senate District 37 (2024), Kansas",49794,124,700,2576,9,41731,3307
"State Senate District 37 (2024), Kentucky",79601,90,1797,15870,14,53936,3509
"State Senate District 37 (2024), Louisiana",86451,59,758,21073,8,60222,2976
"State Senate District 37 (2024), Maryland",99934,49,1311,22030,25,71023,3128
"State Senate District 37 (2024), Michigan",213567,5173,1013,1217,26,195342,4144
"State Senate District 37 (2024), Minnesota",63878,41,3090,3106,8,55777,1088
"State Senate District 37 (2024), Mississippi",43441,16,94,26420,0,15674,759
"State Senate District 37 (2024), Montana",16279,248,68,2,3,14637,866
"State Senate District 37 (2024), Nebraska",30742,47,328,243,25,27289,2454
"State Senate District 37 (2024), New Jersey",153338,56,32339,21457,67,60516,36677
"State Senate District 37 (2024), New Mexico",39306,124,994,643,6,17860,18568
"State Senate District 37 (2024), New York",217554,85,12881,17268,14,146544,37065
"State Senate District 37 (2024), North Carolina",171877,148,3589,18234,14,138277,8387
"State Senate District 37 (2024), North Dakota",11202,130,27,266,159,10003,399
"State Senate District 37 (2024), Oklahoma",58030,2964,1967,3948,58,39825,4025
"State Senate District 37 (2024), Pennsylvania",188328,89,6574,4981,12,170901,3127
"State Senate District 37 (2024), Rhode Island",23189,158,407,717,14,20330,1147
"State Senate District 37 (2024), South Carolina",82213,234,1485,16649,39,58480,3731
"State Senate District 37 (2024), Virginia",142605,117,27161,8437,26,85560,16779
"State Senate District 38 (2024), California",696690,1091,63726,17110,2348,446903,139105
"State Senate District 38 (2024), Florida",354995,143,7144,43876,90,74554,223578
"State Senate District 38 (2024), Georgia",145148,58,2842,88163,0,44579,6684
"State Senate District 38 (2024), Illinois",165276,239,2675,9305,1,129969,19170
"State Senate District 38 (2024), Indiana",107272,131,1368,5246,57,95590,2331
"State Senate District 38 (2024), Iowa",49942,16,677,758,0,46760,949
"State Senate District 38 (2024), Kansas",41333,80,672,1175,0,23550,14989
"State Senate District 38 (2024), Kentucky",88756,19,1160,3800,1,79484,2417
"State Senate District 38 (2024), Louisiana",91380,412,908,30262,142,54696,2814
"State Senate District 38 (2024), Maryland",110188,91,1912,21393,50,80314,3773
"State Senate District 38 (2024), Michigan",219088,4688,1034,5135,94,198381,3419
"State Senate District 38 (2024), Minnesota",52809,223,9988,14252,2,22917,3265
"State Senate District 38 (2024), Mississippi",43135,109,52,27497,2,14358,408
"State Senate District 38 (2024), Montana",19636,531,178,44,5,17916,451
"State Senate District 38 (2024), Nebraska",31229,105,38,234,22,29074,1324
"State Senate District 38 (2024), New Jersey",159702,199,23816,7719,61,93873,31919
"State Senate District 38 (2024), New Mexico",35409,455,162,450,106,11805,22057
"State Senate District 38 (2024), New York",201387,132,13591,23330,31,132594,28786
"State Senate District 38 (2024), North Carolina",156846,198,5288,62424,68,75292,10285
"State Senate District 38 (2024), North Dakota",11897,158,141,446,13,10056,794
"State Senate District 38 (2024), Oklahoma",59903,1088,426,3169,23,44161,8483
"State Senate District 38 (2024), Pennsylvania",193796,15,3521,11837,51,171861,3590
"State Senate District 38 (2024), Rhode Island",24290,3,507,153,0,22747,380
"State Senate District 38 (2024), South Carolina",81119,111,1435,16635,23,56413,4056
"State Senate District 38 (2024), Virginia",143205,57,23349,9303,41,92778,12653
"State Senate District 39 (2024), California",767330,1613,80783,60877,4318,391756,196659
"State Senate District 39 (2024), Florida",303365,167,2615,13153,104,17001,269136
"State Senate District 39 (2024), Georgia",147653,76,5969,82695,126,46592,7335
"State Senate District 39 (2024), Illinois",140370,111,5441,26470,17,65367,40640
"State Senate District 39 (2024), Indiana",101762,64,313,1493,3,96021,1757
"State Senate District 39 (2024), Iowa",48212,42,523,3794,12,40272,1876
"State Senate District 39 (2024), Kansas",42399,206,799,736,27,26443,13478
"State Senate District 39 (2024), Louisiana",90120,135,808,54705,41,29828,3070
"State Senate District 39 (2024), Maryland",82349,227,14535,20329,133,27314,17426
"State Senate District 39 (2024), Minnesota",60137,298,3282,8832,7,41983,3780
"State Senate District 39 (2024), Mississippi",45350,85,129,11812,1,32499,432
"State Senate District 39 (2024), Montana",18240,220,26,74,0,17271,388
"State Senate District 39 (2024), Nebraska",31289,46,769,336,6,28580,938
"State Senate District 39 (2024), New Jersey",169114,100,19597,3316,17,127549,16216
"State Senate District 39 (2024), New Mexico",35721,552,157,339,6,15552,18511
"State Senate District 39 (2024), New York",241272,130,7280,29519,30,160447,38245
"State Senate District 39 (2024), North Carolina",151500,429,7856,44351,137,78464,14685
"State Senate District 39 (2024), North Dakota",11733,161,9,25,16,11054,171
"State Senate District 39 (2024), Oklahoma",60699,2164,1414,5399,32,43464,3796
"State Senate District 39 (2024), Pennsylvania",211888,60,1760,3937,8,201051,2485
"State Senate District 39 (2024), South Carolina",86373,232,1075,32858,30,45340,4390
"State Senate District 39 (2024), Virginia",149583,317,10677,29044,26,85030,18652
"State Senate District 4 (2024), Alabama",110333,256,465,1667,38,103686,2382
"State Senate District 4 (2024), Arizona",194195,943,7200,3795,429,158299,18801
"State Senate District 4 (2024), Arkansas",61942,491,291,12461,6,43496,3972
"State Senate District 4 (2024), California",724394,5152,30181,14731,3335,457041,191530
"State Senate District 4 (2024), Colorado",145525,712,1150,2251,37,126027,11767
"State Senate District 4 (2024), Connecticut",76015,35,4193,6030,0,55873,8465
"State Senate District 4 (2024), Delaware",32694,0,2679,1717,0,26088,1463
"State Senate District 4 (2024), Florida",424432,382,19215,54121,428,298445,40476
"State Senate District 4 (2024), Georgia",147929,251,1774,35174,126,101246,5828
"State Senate District 4 (2024), Hawaii",34340,28,5699,370,3790,14179,2689
"State Senate District 4 (2024), Idaho",40963,219,349,323,17,36808,1975
"State Senate District 4 (2024), Illinois",149082,52,3106,71612,17,49013,23285
"State Senate District 4 (2024), Indiana",106570,45,1009,10930,10,81721,10586
"State Senate District 4 (2024), Iowa",48643,39,205,1233,3,44448,1646
"State Senate District 4 (2024), Kansas",42776,60,2726,15395,151,13861,8725
"State Senate District 4 (2024), Kentucky",88291,56,268,6116,87,78848,1370
"State Senate District 4 (2024), Louisiana",86579,137,1217,49948,2,27826,5037
"State Senate District 4 (2024), Maine",33400,121,99,234,28,32106,333
"State Senate District 4 (2024), Maryland",98944,42,3739,4953,24,81742,6232
"State Senate District 4 (2024), Michigan",205951,341,3083,26928,51,159501,9893
"State Senate District 4 (2024), Minnesota",63982,695,574,1796,31,57268,1967
"State Senate District 4 (2024), Mississippi",42269,27,85,5116,11,34962,791
"State Senate District 4 (2024), Missouri",140299,144,4761,20212,13,106340,4992
"State Senate District 4 (2024), Montana",18725,110,113,28,0,17387,665
"State Senate District 4 (2024), Nebraska",28480,12,890,962,1,24922,1182
"State Senate District 4 (2024), Nevada",87755,638,4111,24956,873,19759,33768
"State Senate District 4 (2024), New Hampshire",45599,7,1197,601,4,40878,1456
"State Senate District 4 (2024), New Jersey",180485,92,5263,28415,9,128241,14043
"State Senate District 4 (2024), New Mexico",35110,22769,194,154,43,5847,5467
"State Senate District 4 (2024), New York",211867,592,8665,40151,53,86406,72448
"State Senate District 4 (2024), North Carolina",158650,373,1370,56438,62,86700,9583
"State Senate District 4 (2024), North Dakota",10853,2672,32,88,13,7478,277
"State Senate District 4 (2024), Ohio",269705,131,8854,22317,104,219247,10379
"State Senate District 4 (2024), Oklahoma",62843,15827,634,585,54,37668,1851
"State Senate District 4 (2024), Oregon",118974,968,3020,1257,128,97562,10070
"State Senate District 4 (2024), Pennsylvania",209721,233,4704,103020,9,87667,8723
"State Senate District 4 (2024), Puerto Rico",348553,1,166,479,33,3865,343064
"State Senate District 4 (2024), Rhode Island",22671,28,708,2343,0,15550,3272
"State Senate District 4 (2024), South Carolina",84037,146,459,18512,16,60161,2233
"State Senate District 4 (2024), South Dakota",19055,52,91,46,0,18291,331
"State Senate District 4 (2024), Tennessee",175194,199,1056,3177,0,165236,2759
"State Senate District 4 (2024), Texas",673602,816,19878,89958,570,404819,143501
"State Senate District 4 (2024), Utah",81592,154,1555,566,276,68565,8918
"State Senate District 4 (2024), Virginia",163976,203,3549,23775,113,127942,5257
"State Senate District 4 (2024), West Virginia",81027,25,277,541,0,78070,924
"State Senate District 4 (2024), Wisconsin",124724,419,5998,70773,5,38399,5662
"State Senate District 4 (2024), Wyoming",13140,67,116,98,0,11638,1022
"State Senate District 40 (2024), California",644162,2523,97156,15593,1613,365619,137446
"State Senate District 40 (2024), Florida",352855,391,5271,24004,164,79637,240107
"State Senate District 40 (2024), Georgia",122383,109,11625,29248,44,66777,11722
"State Senate District 40 (2024), Illinois",158596,64,1186,41775,0,97798,14711
"State Senate District 40 (2024), Indiana",106373,44,4072,3949,0,91551,3877
"State Senate District 40 (2024), Iowa",48445,20,1172,2260,1,41622,1930
"State Senate District 40 (2024), Kansas",54955,197,272,708,1,50096,2726
"State Senate District 40 (2024), Maryland",94232,232,1336,64902,46,21608,2920
"State Senate District 40 (2024), Minnesota",62198,158,4503,3376,11,50673,2177
"State Senate District 40 (2024), Mississippi",46831,73,123,6016,2,38370,1407
"State Senate District 40 (2024), Montana",17751,264,78,60,1,16371,585
"State Senate District 40 (2024), Nebraska",29542,497,59,103,0,27853,633
"State Senate District 40 (2024), New Jersey",169170,129,11147,5309,6,130274,19894
"State Senate District 40 (2024), New Mexico",40181,2029,577,787,40,18956,16328
"State Senate District 40 (2024), New York",233562,161,7930,13396,8,169961,38913
"State Senate District 40 (2024), North Carolina",140582,295,6082,65707,7,49314,15765
"State Senate District 40 (2024), North Dakota",11288,189,103,638,0,9157,893
"State Senate District 40 (2024), Oklahoma",62539,1345,1988,7065,33,43534,4393
"State Senate District 40 (2024), Pennsylvania",202135,267,3221,19179,116,152943,22558
