geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"State Senate District 13 (2024), South Dakota",20046,93,268,490,1,18630,320,0.46,1.34,2.44,0.0,92.94,1.6
"State Senate District 13 (2024), Tennessee",155200,154,6397,20262,84,115117,8059,0.1,4.12,13.06,0.05,74.17,5.19
"State Senate District 13 (2024), Texas",552057,808,53392,262718,242,87527,135976,0.15,9.67,47.59,0.04,15.85,24.63
"State Senate District 13 (2024), Utah",78553,896,3722,2714,728,56885,11306,1.14,4.74,3.45,0.93,72.42,14.39
"State Senate District 13 (2024), Virginia",165264,609,1773,83006,213,67872,7501,0.37,1.07,50.23,0.13,41.07,4.54
"State Senate District 13 (2024), West Virginia",91406,34,2049,3670,0,80939,2597,0.04,2.24,4.02,0.0,88.55,2.84
"State Senate District 13 (2024), Wisconsin",140080,396,517,2533,36,128610,5714,0.28,0.37,1.81,0.03,91.81,4.08
"State Senate District 13 (2024), Wyoming",12362,68,67,164,1,10406,1496,0.55,0.54,1.33,0.01,84.18,12.1
"State Senate District 14 (2024), Alabama",105173,141,1281,16057,48,81114,4948,0.13,1.22,15.27,0.05,77.12,4.7
"State Senate District 14 (2024), Arizona",171878,1128,9428,5843,102,123138,26398,0.66,5.49,3.4,0.06,71.64,15.36
"State Senate District 14 (2024), Arkansas",66231,145,1523,12699,79,48838,1708,0.22,2.3,19.17,0.12,73.74,2.58
"State Senate District 14 (2024), California",578539,2319,52730,31611,1092,147528,330904,0.4,9.11,5.46,0.19,25.5,57.2
"State Senate District 14 (2024), Colorado",130474,383,2300,1525,197,109363,13254,0.29,1.76,1.17,0.15,83.82,10.16
"State Senate District 14 (2024), Connecticut",73889,16,2168,3633,85,59949,7038,0.02,2.93,4.92,0.12,81.13,9.53
"State Senate District 14 (2024), Delaware",37342,9,883,10656,52,21685,2472,0.02,2.36,28.54,0.14,58.07,6.62
"State Senate District 14 (2024), Florida",393810,382,16229,29021,236,223932,114598,0.1,4.12,7.37,0.06,56.86,29.1
"State Senate District 14 (2024), Georgia",135524,105,8524,28054,11,83323,11009,0.08,6.29,20.7,0.01,61.48,8.12
"State Senate District 14 (2024), Hawaii",36911,2,22432,518,2892,3831,1936,0.01,60.77,1.4,7.84,10.38,5.25
"State Senate District 14 (2024), Idaho",43223,163,488,112,67,38967,2422,0.38,1.13,0.26,0.16,90.15,5.6
"State Senate District 14 (2024), Illinois",153356,82,2984,76640,31,56716,14477,0.05,1.95,49.98,0.02,36.98,9.44
"State Senate District 14 (2024), Indiana",91638,25,2623,14860,28,66634,5523,0.03,2.86,16.22,0.03,72.71,6.03
"State Senate District 14 (2024), Iowa",49614,21,1491,1223,25,43784,2044,0.04,3.01,2.47,0.05,88.25,4.12
"State Senate District 14 (2024), Kansas",57776,211,125,1306,4,52402,2153,0.37,0.22,2.26,0.01,90.7,3.73
"State Senate District 14 (2024), Kentucky",86996,64,177,3836,0,80096,1123,0.07,0.2,4.41,0.0,92.07,1.29
"State Senate District 14 (2024), Louisiana",89029,124,2315,48584,17,31951,3146,0.14,2.6,54.57,0.02,35.89,3.53
"State Senate District 14 (2024), Maine",31783,54,126,195,0,30231,635,0.17,0.4,0.61,0.0,95.12,2.0
"State Senate District 14 (2024), Maryland",89309,74,10943,24270,52,41107,10014,0.08,12.25,27.18,0.06,46.03,11.21
"State Senate District 14 (2024), Michigan",204661,455,5397,12724,49,173817,6455,0.22,2.64,6.22,0.02,84.93,3.15
"State Senate District 14 (2024), Minnesota",62480,186,1574,7332,69,49184,2409,0.3,2.52,11.73,0.11,78.72,3.86
"State Senate District 14 (2024), Mississippi",40845,6,111,15701,4,23970,299,0.01,0.27,38.44,0.01,58.69,0.73
"State Senate District 14 (2024), Missouri",137453,94,2727,62964,12,62080,4911,0.07,1.98,45.81,0.01,45.16,3.57
"State Senate District 14 (2024), Montana",16150,950,44,51,15,14079,286,5.88,0.27,0.32,0.09,87.18,1.77
"State Senate District 14 (2024), Nebraska",30107,29,616,1159,1,25346,2331,0.1,2.05,3.85,0.0,84.19,7.74
"State Senate District 14 (2024), Nevada",109640,2251,3717,1593,514,79708,19263,2.05,3.39,1.45,0.47,72.7,17.57
"State Senate District 14 (2024), New Hampshire",46540,24,669,520,1,43177,1383,0.05,1.44,1.12,0.0,92.77,2.97
"State Senate District 14 (2024), New Jersey",157347,54,21153,12920,37,103226,17771,0.03,13.44,8.21,0.02,65.6,11.29
"State Senate District 14 (2024), New Mexico",31742,722,260,562,48,6084,23412,2.27,0.82,1.77,0.15,19.17,73.76
"State Senate District 14 (2024), New York",218544,1010,30344,108044,59,39408,34367,0.46,13.88,49.44,0.03,18.03,15.73
"State Senate District 14 (2024), North Carolina",144530,272,5486,64188,6,55728,14056,0.19,3.8,44.41,0.0,38.56,9.73
"State Senate District 14 (2024), North Dakota",12399,190,15,25,0,11822,183,1.53,0.12,0.2,0.0,95.35,1.48
"State Senate District 14 (2024), Ohio",273556,177,2002,4319,26,258135,3949,0.06,0.73,1.58,0.01,94.36,1.44
"State Senate District 14 (2024), Oklahoma",61530,4536,322,2633,27,44828,3852,7.37,0.52,4.28,0.04,72.86,6.26
"State Senate District 14 (2024), Oregon",107511,256,6128,2827,223,83297,9823,0.24,5.7,2.63,0.21,77.48,9.14
"State Senate District 14 (2024), Pennsylvania",192841,68,3364,11093,0,128441,46546,0.04,1.74,5.75,0.0,66.6,24.14
"State Senate District 14 (2024), Rhode Island",20955,101,388,2049,22,16260,1457,0.48,1.85,9.78,0.1,77.59,6.95
"State Senate District 14 (2024), South Carolina",84832,166,284,12178,20,67692,2412,0.2,0.33,14.36,0.02,79.8,2.84
"State Senate District 14 (2024), South Dakota",17718,115,281,461,1,16231,272,0.65,1.59,2.6,0.01,91.61,1.54
"State Senate District 14 (2024), Tennessee",149908,164,1954,22997,145,112377,8433,0.11,1.3,15.34,0.1,74.96,5.63
"State Senate District 14 (2024), Texas",699876,523,45340,66510,470,397608,169060,0.07,6.48,9.5,0.07,56.81,24.16
"State Senate District 14 (2024), Utah",84033,243,2240,441,596,73691,4804,0.29,2.67,0.52,0.71,87.69,5.72
"State Senate District 14 (2024), Virginia",177877,197,3543,69872,99,90289,7416,0.11,1.99,39.28,0.06,50.76,4.17
"State Senate District 14 (2024), West Virginia",81156,198,82,3043,16,75241,1068,0.24,0.1,3.75,0.02,92.71,1.32
"State Senate District 14 (2024), Wisconsin",135688,463,1128,1800,28,125587,4123,0.34,0.83,1.33,0.02,92.56,3.04
"State Senate District 14 (2024), Wyoming",15429,33,25,31,5,14081,725,0.21,0.16,0.2,0.03,91.26,4.7
"State Senate District 15 (2024), Alabama",100903,70,1359,9983,75,85258,2713,0.07,1.35,9.89,0.07,84.5,2.69
"State Senate District 15 (2024), Arizona",186782,1365,4555,7425,408,133821,32651,0.73,2.44,3.98,0.22,71.65,17.48
"State Senate District 15 (2024), Arkansas",58028,98,688,36261,9,15615,4159,0.17,1.19,62.49,0.02,26.91,7.17
"State Senate District 15 (2024), California",636705,1490,199575,20631,2258,213825,179612,0.23,31.34,3.24,0.35,33.58,28.21
"State Senate District 15 (2024), Colorado",128322,280,1224,804,106,112288,11065,0.22,0.95,0.63,0.08,87.5,8.62
"State Senate District 15 (2024), Connecticut",72209,16,1737,17590,89,28711,21979,0.02,2.41,24.36,0.12,39.76,30.44
"State Senate District 15 (2024), Delaware",36842,176,323,4621,4,29515,1297,0.48,0.88,12.54,0.01,80.11,3.52
"State Senate District 15 (2024), Florida",356659,445,14089,131829,440,125245,77016,0.12,3.95,36.96,0.12,35.12,21.59
"State Senate District 15 (2024), Georgia",137762,148,1877,73908,300,50035,7362,0.11,1.36,53.65,0.22,36.32,5.34
"State Senate District 15 (2024), Hawaii",56431,109,21685,3113,3146,14599,6074,0.19,38.43,5.52,5.57,25.87,10.76
"State Senate District 15 (2024), Idaho",39188,83,1096,209,49,34052,2539,0.21,2.8,0.53,0.13,86.89,6.48
"State Senate District 15 (2024), Illinois",153436,232,1663,83542,87,49926,15650,0.15,1.08,54.45,0.06,32.54,10.2
"State Senate District 15 (2024), Indiana",102965,32,4234,6333,40,85946,3900,0.03,4.11,6.15,0.04,83.47,3.79
"State Senate District 15 (2024), Iowa",43038,59,2806,2602,53,31831,4813,0.14,6.52,6.05,0.12,73.96,11.18
"State Senate District 15 (2024), Kansas",54233,615,96,1722,60,46575,2401,1.13,0.18,3.18,0.11,85.88,4.43
"State Senate District 15 (2024), Kentucky",91809,208,265,980,11,87217,1885,0.23,0.29,1.07,0.01,95.0,2.05
"State Senate District 15 (2024), Louisiana",78042,58,1158,60637,0,13455,1443,0.07,1.48,77.7,0.0,17.24,1.85
"State Senate District 15 (2024), Maine",30024,57,243,289,0,28249,631,0.19,0.81,0.96,0.0,94.09,2.1
"State Senate District 15 (2024), Maryland",91652,30,23615,11123,4,45394,8977,0.03,25.77,12.14,0.0,49.53,9.79
"State Senate District 15 (2024), Michigan",207289,344,12728,28637,27,147899,10213,0.17,6.14,13.82,0.01,71.35,4.93
"State Senate District 15 (2024), Minnesota",63327,757,1087,683,9,58049,1789,1.2,1.72,1.08,0.01,91.67,2.83
"State Senate District 15 (2024), Mississippi",42710,20,403,11772,0,29061,723,0.05,0.94,27.56,0.0,68.04,1.69
"State Senate District 15 (2024), Missouri",135722,83,9118,3546,4,116525,4209,0.06,6.72,2.61,0.0,85.86,3.1
"State Senate District 15 (2024), Montana",16085,248,52,57,61,14561,496,1.54,0.32,0.35,0.38,90.53,3.08
"State Senate District 15 (2024), Nebraska",30017,37,175,180,0,26729,2341,0.12,0.58,0.6,0.0,89.05,7.8
"State Senate District 15 (2024), Nevada",107245,749,5433,3053,383,74931,18720,0.7,5.07,2.85,0.36,69.87,17.46
"State Senate District 15 (2024), New Hampshire",46799,63,784,891,0,42712,1307,0.13,1.68,1.9,0.0,91.27,2.79
"State Senate District 15 (2024), New Jersey",150739,75,12592,37661,0,75454,22264,0.05,8.35,24.98,0.0,50.06,14.77
